tickSequence,exchangeName,stockName,highPrice,lifeTimeHighPrice,lifeTimeLowPrice,dayHighPrice,lastTradedPrice,week52HighPrice,week52LowPrice,bestBidPrice,bestAskPrice,dayOpenPrice,dayClosePrice,prevDayClosePrice,dayLowPrice,highPriceRange,lowPriceRange,absolutePriceChange,percentPriceChange,bestBidQuantity,bestAskQuantity,dayVolume,date,lastTradedTime
2,BSE,INFTEC,1083.9,1278.0,0.28,989.4,986.0,1097.1,900.3,986.3,986.95,989.0,985.4,985.4,981.9,1083.9,886.9,0.6,0.06,51,197,4233,2017-07-19,09:20:16.000
2,NSE,INFTEC,1084.15,1279.3,1.41,988.65,986.55,1096.5,901.0,986.55,986.8,981.45,985.6,985.6,981.0,1084.15,887.05,0.95,0.1,64,1020,113169,2017-07-19,09:20:16
2,BSE,SUBSYS,12.15,803.25,4.41,10.26,10.26,13.68,8.25,10.25,10.26,10.2,10.13,10.13,10.2,12.15,8.11,0.13,1.28,3788,27,4023,2017-07-19,09:19:57.000
2,NSE,SUBSYS,12.15,790.0,4.4,10.3,10.3,13.7,8.2,10.25,10.3,10.2,10.15,10.15,10.2,12.15,8.15,0.15,1.48,20995,44547,40277,2017-07-19,09:19:42
2,BSE,HCLINF,66.9,299.95,3.61,57.8,56.2,64.85,37.55,56.15,56.2,57.8,55.75,55.75,55.25,66.9,44.6,0.45,0.81,878,350,405763,2017-07-19,09:20:17.000
2,NSE,HCLINF,66.8,290.0,3.65,57.35,56.2,64.9,37.55,56.15,56.2,56.9,55.7,55.7,55.35,66.8,44.6,0.5,0.9,1800,638,2032713,2017-07-19,09:20:14
2,BSE,WIPRO,295.5,490.0,0.26,272.0,269.6,283.93,205.0,269.6,270.0,271.0,268.65,268.65,269.6,295.5,241.8,0.95,0.35,1102,1171,3513,2017-07-19,09:20:16.000
2,NSE,WIPRO,295.9,517.5,0.98,270.75,269.65,284.0,204.05,269.65,269.8,270.0,269.0,269.0,269.5,295.9,242.1,0.65,0.24,768,187,54012,2017-07-19,09:20:14
1,BSE,GVKPOW,9.28,93.5,4.13,7.91,7.9,9.22,5.05,7.82,7.85,7.72,7.74,7.74,7.72,9.28,6.2,0.16,2.07,2881,6912,32480,2017-07-19,09:20:13.000
1,NSE,GVKPOW,9.2,92.9,4.1,7.9,7.8,9.2,5.0,7.8,7.85,7.9,7.7,7.7,7.8,9.2,6.2,0.1,1.3,66259,49010,98098,2017-07-19,09:20:12
